-,25/07/2015,18:25:18,confused,172.30.100.109,,,DC++ 0.843,83.23 GiBs,P,0.005
-,25/07/2015,18:25:18,machp,172.30.101.68,,,DC++ 0.843,222.81 GiBs,A,1000
-,25/07/2015,18:25:18,qwerty,172.30.102.111,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
-,25/07/2015,18:25:18,DOM,172.30.101.17,,,ApexDC++ 1.6.0,84.06 GiBs,P,0.1
+,25/07/2015,18:25:43,master,172.30.101.157,,,DC++ 0.843,29.90 GiBs,P,5
+,25/07/2015,18:25:46,itachi1995,172.30.100.247,,,DC++ 0.851,49.97 GiBs,A,1000
+,25/07/2015,18:27:33,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
+,25/07/2015,18:27:45,nev,172.30.100.58,,,StrgDC++ 2.42,338.86 GiBs,A,0.01
+,25/07/2015,18:28:02,PrasadaRao,172.30.100.159,,,DC++ 0.831,116.90 GiBs,P,0.005
+,25/07/2015,18:28:09,machp,172.30.101.68,,,DC++ 0.843,232.05 GiBs,A,1000
+,25/07/2015,18:28:21,qwerty,172.30.102.111,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
-,25/07/2015,18:29:02,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
+,25/07/2015,18:29:27,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
-,25/07/2015,18:30:00,ChanandlerBONG,172.30.120.243,,,DC++ 0.75,295.01 GiBs,A,1
-,25/07/2015,18:30:22,master,172.30.101.157,,,DC++ 0.843,29.90 GiBs,P,5
+,25/07/2015,18:42:57,master,172.30.101.157,,,DC++ 0.843,29.90 GiBs,P,5
-,25/07/2015,18:43:13,itachi1995,172.30.100.247,,,DC++ 0.851,49.97 GiBs,A,1000
-,25/07/2015,21:33:47,nev,172.30.100.58,,,StrgDC++ 2.42,338.86 GiBs,A,0.01
-,25/07/2015,21:33:47,PrasadaRao,172.30.100.159,,,DC++ 0.831,116.90 GiBs,P,0.005
-,25/07/2015,21:33:47,qwerty,172.30.102.111,,,ApexDC++ 1.5.14,24.69 GiBs,P,0.1
-,25/07/2015,21:33:47,master,172.30.101.157,,,DC++ 0.843,29.90 GiBs,P,5
-,25/07/2015,21:34:13,machp,172.30.101.68,,,DC++ 0.843,232.05 GiBs,A,1000
+,25/07/2015,21:34:19,niranjan,172.30.100.72,,,DC++ 0.831,127.79 GiBs,P,0.005
+,25/07/2015,21:34:35,itachi1995,172.30.100.247,,,DC++ 0.851,49.97 GiBs,A,1000
+,25/07/2015,21:34:43,PrasadaRao,172.30.100.159,,,DC++ 0.831,116.90 GiBs,P,0.005
+,25/07/2015,21:36:05,daffa,172.30.125.161,,,DC++ 0.811,93.91 GiBs,P,0.005
+,25/07/2015,21:36:24,Tony_St@rk,172.30.100.160,Always Cool,,DC++ 0.843,772.53 GiBs,A,0.005
-,25/07/2015,21:44:17,daffa,172.30.125.161,,,DC++ 0.811,93.91 GiBs,P,0.005
+,25/07/2015,21:51:09,HarshVardhan,172.20.40.174,,,DC++ 0.843,229.76 GiBs,P,0.005
+,25/07/2015,21:51:40,ajaygaale,172.30.101.140,,,DC++ 0.843,56.82 GiBs,P,0.005
-,25/07/2015,21:56:29,niranjan,172.30.100.72,,,DC++ 0.831,128.47 GiBs,P,0.005
+,25/07/2015,22:01:41,daffa,172.30.125.161,,,DC++ 0.811,93.91 GiBs,P,0.005
+,25/07/2015,22:07:18,machp,172.30.101.68,,,DC++ 0.843,232.05 GiBs,A,1000
+,25/07/2015,22:11:24,nev,172.30.100.58,,,StrgDC++ 2.42,338.86 GiBs,A,0.01
+,25/07/2015,22:16:31,COMPUTER,172.30.102.55,,,DC++ 0.843,105.49 GiBs,A,0.005
-,25/07/2015,22:16:40,COMPUTER,172.30.102.55,,,DC++ 0.843,105.49 GiBs,A,0.005
+,25/07/2015,22:19:47,manu,172.30.147.183,,,DC++ 0.843,187.79 GiBs,A,0.005
+,25/07/2015,22:32:13,trigon,172.30.101.206,,,DC++ 0.831,510.72 GiBs,A,10101 KiB/s
